#Unified Canadian Aboriginal Syllabics

#Syllables
1401	aI
1533	jw i:
1534	jw i:
1535	jw o
1536	jw o
1537	jw o:
1538	jw o:
1539	jw A
153A	jw A
153B	jw A:
153C	jw A:
153D	jw A:
153E	j
153F	j
1540	j
1541	j i
1542	r aI
1543	r e
1544	l e
1545	r A: i
1546	r i
1547	r i:
1548	r u
1549	r u:
154A	l o
154B	r A
154C	r A:
154D	l a 
154E	rw A:
154F	rw A:
1550	r
1551	r
1552	r
1553	v aI
1554	v A: i
1555	v i
1556	v i:
1557	v o
1558	v o:
1559	v A
155A	v A:
155B	vw A:
155C	vw A:
155D	v
155E	D e
155F	D e
1560	D i
1561	D i
1562	D i:
1563	D i:
1564	D o
1565	D o:
1566	D A
1567	D A:
1568	Dw A:
1569	Dw A:
156A	D
156B	D e	
156C	D i
156D	D o
156E	D A
156F	D
1570	tj e
1571	tj i
1572	tj o
1573	tj A
1574	h e
1575	h i
1576	h i:
1577	h o
1578	h o:
1579	h A
157A	h A:
157B	h
157C	h
157D	h k
157E	q A: i
157F	q i	
1580	q i:
1581	q u
1582	q u:
1583	q A
1584	q A:
1585	q
1586	th l e
1587	th l i
1588	th l o
1589	th l A
158A	r e
158B	r i
158C	r o
158D	r A
158E	N aI
158F	N i
1590	N i:
1591	N u
1592	N u:
1593	N A
1594	N A:
1595	N
1596	N
1597	S e
1598	S i
1599	S o
159A	S A
159B	D e
159C	D i
159D	D o
159E	D A
159F	D
15A0	hl i
15A1	hl i:
15A2	hl u
15A3	hl u:
15A4	hl A
15A5	hl A:
15A6	hl
15A7	D e
15A8	D i
15A9	D i:
15AA	D o
15AB	D o:
15AC	D A
15AD	D A:
15AE	D
15AF	b
15B0	e
15B1	i
15B2	o
15B3	A
15B4	w e 
15B5	w i
15B6	w o
15B7	w A
15B8	n e
15B9	n i
15BA	n o
15BB	n A
15BC	k e
15BD	k i
15BE	k o
15BF	k A
15C0	h e
15C1	h i
15C2	h o
15C3	h A
15C4	Gh u
15C5	Gh o
15C6	Gh e
15C7	Gh e:
15C8	Gh i
15C9	Gh A
15CA	r u
15CB	r o
15CC	r e
15CD	r e:
15CE	r i
15CF	r A
15D0	w u
15D1	w o
15D2	w e
15D3	w e:
15D4	w i
15D5	w A
15D6	hw u
15D7	hw o
15D8	hw e
15D9	hw e:
15DA	hw i
15DB	hw A
15DC	D u
15DD	D o
15DE	D e
15DF	D e:
15E0	D i
15E1	D A
15E2	t t u
15E3	t t o
15E4	t t e
15E5	t t e:
15E6	t t i
15E7	t t A
15E8	p u
15E9	p o
15EA	p e
15EB	p e:
15EC	p i
15ED	p A
15EE	p
15EF	G u
15F0	G o
15F1	G e
15F2	G e:
15F3	G i
15F4	G A
15F5	kh u
15F6	kh o
15F7	kh e
15F8	kh e:
15F9	kh i
15FA	kh A
15FB	k k u
15FC	k k o
15FD	k k e
15FE	k k e:
15FF	k k i
1600	k k A
1601	k k
1602	n u
1603	n o
1604	n e
1605	n e:
1606	n i
1607	n A
1608	m u
1609	m o
160A	m e
160B	m e:
160C	m i
160D	m A
160E	j u
160F	j o
1610	j e
1611	j e:
1612	j i
1613	j A
1614	z u
1615	z u
1616	z o
1617	z e
1618	z e:
1619	z i
161A	z i
161B	z A
161C	z z u	
161D	z z o
161E	z z e
161F	z z e:
1620	z z i
1621	z z A
1622	l u
1623	l o
1624	l e
1625	l e:
1626	l i
1627	l A
1628	d l u
1629	d l o
162A	d l e
162B	d l e:
162C	d l i
162D	d l A
162E	hl u
162F	hl o
1630	hl e
1631	hl e:
1632	hl i
1633	hl A
1634	th l u
1635	th l o
1636	th l e
1637	th l e:
1638	th l i
1639	th l A
163A	t l u
163B	t l o
163C	t l e
163D	t l e:
163E	t l i
163F	t l A
1640	z u
1641	z o
1642	z e
1643	z e:
1644	z i
1645	z A
1646	z
1647	z
1648	dz u
1649	dz o
164A	dz e
164B	dz e:
164C	dz i
164D	dz A
164E	s u
164F	s o
1650	s e
1651	s e:
1652	s i
1653	s A
1654	S u
1655	S o
1656	S e
1657	S e:
1658	S i
1659	S A 
165A	S
165B	ts u
165C	ts o
165D	ts e
165E	ts e:
165F	ts i
1660	ts A
1661	Gh u
1662	Gh o
1663	Gh e
1664	Gh e:
1665	Gh i	
1666	Gh A
1667	ts u
1668	ts o
1669	ts e
166A	ts e:
166B	ts i
166C	ts A
#Symbol
166D	(SYMBOL TO DENOTE CHRIST)
#Punctuation
166E	(FULL STOP)
#Syllables
166F	q aI
1670	N aI
1671	N i
1672	N i:
1673	N o
1674	N o:
1675	N A
1676	N A:

